ï»¿Id,Sentiment,Acara TV,Jumlah Retweet,Text Tweet
44,positive,HitamPutihTransTV,4,nonton trans hitam putih keren abis jesika cantik dedy ganteng  hitamputihtrans
45,positive,HitamPutihTransTV,1,acara hitam putih oke
46,positive,HitamPutihTransTV,5,yuk tweeps rapat sebentar hitam putih live
47,positive,HitamPutihTransTV,0,tweeps terima kasih saksi hitam putih besok live  trans  hpviral
48,positive,HitamPutihTransTV,1, hitamputihtrans emang keren tamu
49,positive,HitamPutihTransTV,11,subhanallah ni anak karunia yg banding trans hitamputih
50,positive,HitamPutihTransTV,10,kes dengar salah dr orang yg maju hitam putih moga sukses slalu
51,negative,HitamPutihTransTV,0,hitam putih bego haruka undang bentar biar pd liat younglex udah gt hina bego
52,negative,HitamPutihTransTV,10,miris liat perintah juara angkat berat se-asia tp tdk biaya ikut kejurnas  miris  hitamputihtrans
53,negative,HitamPutihTransTV,5,juara angkat berat se-asia tdk terima hadiah kejurnas kendala biaya  hitamputihtrans
54,negative,HitamPutihTransTV,6,haruka kali undang hitam putih tolak aja hostnya ga harga
55,negative,HitamPutihTransTV,0,asa aneh nonton acara hitam putih tonton nya anak yg sekolah sekolah gua  smkjakarta
56,negative,HitamPutihTransTV,0,sedih dengar curhatanmu roxana moga tuhan tunjuk jalan titik terang utk roxana  hitamputih  gulat
57,negative,HitamPutihTransTV,5,miris anak indonesia sulit bahasa indonesa nyaman bahasa asing  hitamputihtrans  akuindonesia
58,negative,HitamPutihTransTV,0,sombong mentang kaya pake umum host kaya hitam putih trans
59,negative,HitamPutihTransTV,2,parah banget hitam putih trans ngomong sembarang yg rusak generasi muda acara kyk gin
60,negative,HitamPutihTransTV,0,orang bangkrut perkara uang bangkrut orang mimpi -bangqomar  hitamputiht
61,negative,HitamPutihTransTV,0,takut powernya oma martha  hitamputiht
62,negative,HitamPutihTransTV,0, hitamputiht hasil tdk sesuai dgn yg hendak demo demo lg sila arti sbg paksa hendak
63,negative,HitamPutihTransTV,0,mulut farhat abas anjay bener  hitamputiht
64,negative,HitamPutihTransTV,0,klo episode muncul  hitamputiht ga nonton lg hitam putih  hitamputiht
65,negative,HitamPutihTransTV,0,yaampun anak nonton  hitamputiht
66,negative,HitamPutihTransTV,0,anak yg butuh aku sang ayah  hitamputiht  marioteguh
67,negative,HitamPutihTransTV,3,mario teguh campak anak nya  hitamputiht
68,negative,HitamPutihTransTV,4,orang tuna netra aja bagi yg pegang jabat korupsi  hitamputiht
69,negative,HitamPutihTransTV,0, pandji garing banget sih ni orang  hitamputiht
70,negative,HitamPutihTransTV,0,kalo nyanyi anak lagu na sakit malu  savelaguanak  hitamputiht
71,negative,HitamPutihTransTV,3,maksud ngatain tp knp orang yg ditindes  hitamputiht  hitamputiht
72,negative,HitamPutihTransTV,0,bos kau kalo cowo kerja salah bentak abis kalo cewe diajakin becanda trus ketawa  mystupidboss  hitamputiht
73,negative,HitamPutihTransTV,0,suara sang veteran koruptor hukum mati  hitamputiht
74,negative,HitamPutihTransTV,0,berita nya ga nyebar sih  hitamputiht  trans
75,negative,HitamPutihTransTV,0, hitamputiht buta tuh orang dalem ruang pake kacamata hitam  hitamputiht
76,negative,HitamPutihTransTV,0,ya dunia haru pergi mbak jupe  hitamputihtrans
77,negative,HitamPutihTransTV,0,gitu nasib atlet ya  kemenporari  hitamputiht
78,negative,HitamPutihTransTV,0,knp ya sahabat bs lupa dg sahabat temu teman  baru  hitamputiht
79,negative,HitamPutihTransTV,0,baby tatan nang ngeliat daddy  hitamputiht  hitamputiht
80,negative,HitamPutihTransTV,4,angkat topi tunduk kepala mbah simpen  hitamputihtrans
81,negative,HitamPutihTransTV,0,toleransi umat agama yg terap serang banten toleransi mitos  hitamputiht
82,negative,HitamPutihTransTV,2,suara sang veteran koruptor hukum mati  hitamputiht
83,negative,HitamPutihTransTV,0,duka anak nya buk  hitamputiht
84,negative,HitamPutihTransTV,0,yg yg harap  moreppie  hitamputiht
85,negative,HitamPutihTransTV,0,ga tau buruk kau pergi  moreppie  hitamputiht
86,negative,HitamPutihTransTV,0, hitamputiht udah sodok ajah bu haha  tributetowanitaindonesia
87,negative,HitamPutihTransTV,0,butuh tegas masyarakat perintah butuh tindak ngoceh medsos  hitamputiht  pollinghitamputih
88,negative,HitamPutihTransTV,0,hidup dijalanin dipikirin  hitamputiht
89,negative,HitamPutihTransTV,0,pimpin pribadi korban  hitamputiht
90,negative,HitamPutihTransTV,2,hidup dijalanin dipikirin mongol stres  hitamputiht
91,negative,HitamPutihTransTV,0, hitamputiht demo gak nyelesaikan bermusyawara ajha  hitamputiht
92,negative,HitamPutihTransTV,0, hitamputiht bayang konvensional online mana usaha tdk bayar yg orang kalah
93,negative,HitamPutihTransTV,0,enak taksi konvensional kalo pepet taksi yg langsung nunggu yg online  hitamputiht  onlinevskonvension
94,negative,HitamPutihTransTV,0, hitamputiht kaya gin negara inti gk tuju usaha kaya gin  onlinevskonvensional
95,negative,HitamPutihTransTV,0,gak gadget mahal nipu  gk argonya argo kuda gak aman pake konvensional  hitamputihtrans
96,negative,HitamPutihTransTV,0,hidup pilih pasrah
97,negative,HitamPutihTransTV,0, hitamputiht gawat darurat tetangga tembak dg sengaja kucing sekitar rumah  komplekrumahelitbandung
98,negative,HitamPutihTransTV,0,miris liat hewan yg aniaya  hitamputiht  hpsayangbinatang
99,negative,HitamPutihTransTV,0,bicara masalah orang malu
100,negative,HitamPutihTransTV,0,dedy sombong nya alu
101,positive,IndonesiaLawyersClubTvOne,5,suka banget nonton  indonesialawyersclub tambah wawas ajar bicara keren  ilctvonenews
102,positive,IndonesiaLawyersClubTvOne,1,ngakak mantap dah pokok seru
103,positive,IndonesiaLawyersClubTvOne,3,rindu ilc indobesia lawyers club tvone
104,positive,IndonesiaLawyersClubTvOne,10,indonesia lawyers club program talkshow tunggu pirsa tvone bahas topik kini  tahuntvone
105,positive,IndonesiaLawyersClubTvOne,11,kagum buya syafii maarif - ilc tvone https youtube gpxskltaly
106,positive,IndonesiaLawyersClubTvOne,0,panglima bangga ilc tvone https youtube trtnueaw
107,positive,IndonesiaLawyersClubTvOne,14,rating indonesia lawyers club tv one langsung lesat  tvone 
108,positive,IndonesiaLawyersClubTvOne,4,sejuk kalo ilc kayak gin obrol - ilc tvone
109,positive,IndonesiaLawyersClubTvOne,5,nonton tvone indonesia lawyers club yuk
110,positive,IndonesiaLawyersClubTvOne,0,ajar debat bidang hukum  ilc
111,positive,IndonesiaLawyersClubTvOne,2,selamat tayang indonesia lawyers club tvone
112,positive,IndonesiaLawyersClubTvOne,18,yg bikin adem hati aa gymnastiar  ilc
113,positive,IndonesiaLawyersClubTvOne,10,ikhlas lepas doa  ilc
114,positive,IndonesiaLawyersClubTvOne,4,bang  karniilyas cerdas  ilc hebat
115,positive,IndonesiaLawyersClubTvOne,3,ustadz keren banget  ilc
116,positive,IndonesiaLawyersClubTvOne,3, ilc damai senandung
117,positive,IndonesiaLawyersClubTvOne,9,damai senandung  ilc pecah belah umat agama musnah
118,positive,IndonesiaLawyersClubTvOne,11,moga paham sejati rupa indonesia  ilc
119,positive,IndonesiaLawyersClubTvOne,7,ilc malam adem  indonesialawyersclub
120,positive,IndonesiaLawyersClubTvOne,19,indah ilc malam muka agama rangkul tuju tinggal ahok rusak selaras bangsa  ilc
121,positive,IndonesiaLawyersClubTvOne,0,tuju banget ustad  ilc
122,positive,IndonesiaLawyersClubTvOne,5,top banget utadz zaitun rasmin  ilc
123,positive,IndonesiaLawyersClubTvOne,0,yuk tonton tvone saji berita obyektif  tvoneslldihati
124,positive,IndonesiaLawyersClubTvOne,0, ilc polmart bijaksana
125,positive,IndonesiaLawyersClubTvOne,2,rakyat dukung kpk usut tuntas -ktp  karniilyas  ilctvone
126,positive,IndonesiaLawyersClubTvOne,0,acara televisi suka  ilctvone
127,positive,IndonesiaLawyersClubTvOne,6,ga sabar nunggu  ilctvone
128,positive,IndonesiaLawyersClubTvOne,11,semangat sehat karni tonton setia tunggu ilc tayang  karniilyas  ilctvone
129,positive,IndonesiaLawyersClubTvOne,16,adem dengerin nasehat aa gym moga sehat slalu lindung  islamjagankri  generalgatot  ilctvone
130,positive,IndonesiaLawyersClubTvOne,2,ilmu serap  ilctvone malam sejuk
131,positive,IndonesiaLawyersClubTvOne,3, ilctvone bangga  panglimatni  jendralgatotnurmantyo
132,positive,IndonesiaLawyersClubTvOne,4,salut komitmen  generalgatot wibawa jenderal sungguh  ilc  ilctvone
133,positive,IndonesiaLawyersClubTvOne,2,hormat jendral  ilctvone  keren  nextpresiden
134,positive,IndonesiaLawyersClubTvOne,3,aa gym sejuk mental jiwa  ilctvone
135,positive,IndonesiaLawyersClubTvOne,5,terimakasih buya syafii  maarifinstitute bangga dg kejernihaannya  ilctvone
136,positive,IndonesiaLawyersClubTvOne,16,jelas kapolri barakallahu mari buka hati  ilctvone  jagankri
137,positive,IndonesiaLawyersClubTvOne,19,milik kasih maaf org yg maaf keren salut  ilctvone
138,positive,IndonesiaLawyersClubTvOne,10, ilctvone  jonru  hafidzary  ahmaddhaniprast sampe diketawain krn kalem ujung keringat dingin mata merem asli lucu
139,positive,IndonesiaLawyersClubTvOne,9,ahmad dhani ngomong seru  ilctvone
140,positive,IndonesiaLawyersClubTvOne,15,dengar dapat hasim muzadi menentramkan keren  ilctvone
141,positive,IndonesiaLawyersClubTvOne,13,salut hormat utk bang jhonson panjaitan lugas masuk akal  ilctvone
142,positive,IndonesiaLawyersClubTvOne,6,kompak bela bnn polisi  ilctvone
143,positive,IndonesiaLawyersClubTvOne,12,keren kali abang acara botak  ilctvone
144,positive,IndonesiaLawyersClubTvOne,18,jokowi org soleh hendropriyono  ilctvone
145,positive,IndonesiaLawyersClubTvOne,5,top cerah prof  mohmahfudmd  ilctvone
146,positive,IndonesiaLawyersClubTvOne,12,media dukung ahok dapat iklan korporasi  ilctvone
147,positive,IndonesiaLawyersClubTvOne,4, ilctvonenews keren bikin melek  ilctvone
148,positive,IndonesiaLawyersClubTvOne,5,salut darmawan salihin  ilctvone
149,positive,IndonesiaLawyersClubTvOne,6,semga ilc informasi
150,positive,IndonesiaLawyersClubTvOne,7,acara debat yag hebat keren  ilc
151,negative,IndonesiaLawyersClubTvOne,0,tunggu tvshow indonesia lawyers club tvshow cocok karakter siar tvone
152,negative,IndonesiaLawyersClubTvOne,2,indonesia lawyers club tvone malam batal tayang malu rezim sakit takut http fbme pynacs
153,negative,IndonesiaLawyersClubTvOne,5,potensi teroris bikin nyata yg peluang pd teroris  ilc
154,negative,IndonesiaLawyersClubTvOne,0,indonesia tp gak sikap dr presiden demo sibuk citra  upload video gak  ilc
155,negative,IndonesiaLawyersClubTvOne,0,acara  ilc bidik habieb rizieq habieb ga pulang indonesia ga ga mutu
156,negative,IndonesiaLawyersClubTvOne,0, busyromuqoddas minoritas ekonomi kuat kuasa mayoritas ekonomi lemah bahas sumber radikal miris  ilc  karnii
157,negative,IndonesiaLawyersClubTvOne,0,lg  aniesbaswedan jaga jarak dg islamis radikal bangsa hancur  ilc
158,negative,IndonesiaLawyersClubTvOne,0,omong ga tarik ga isi  ilc
159,negative,IndonesiaLawyersClubTvOne,0,anis fitnah  ilc
160,negative,IndonesiaLawyersClubTvOne,2,metromini utk jadi metronome bentuk macet padat putra petir  ilc
161,negative,IndonesiaLawyersClubTvOne,0,bela ahok cek pikir kalah anak sd  ahokharusdipenjara  ilctvonenews  ilc
162,negative,IndonesiaLawyersClubTvOne,0, matanajwa kayak provokatif ya bawa acara beda kelas dg  ilc  ilctvonenews
163,negative,IndonesiaLawyersClubTvOne,0,pribadi tdk suka dgn acara mata najwa ilc tdk selesai kayak  matanajwa  ilc
164,negative,IndonesiaLawyersClubTvOne,0,bohong ulang  ilc
165,negative,IndonesiaLawyersClubTvOne,0,racun puji  ilc
166,negative,IndonesiaLawyersClubTvOne,0,males nonton topik  ilc ga kini
167,negative,IndonesiaLawyersClubTvOne,3,bohong lari cepat kilat benar kalah  ilc
168,negative,IndonesiaLawyersClubTvOne,0,org yg nama tampang nabi tp hati iblis sesuai dgn nyata acara nazarudin  ilc
169,negative,IndonesiaLawyersClubTvOne,0,jabat sibuk bicara hak angket  ilc tvne http fbme rgmoqcl
170,negative,IndonesiaLawyersClubTvOne,0,paham gagal paham  ilc
171,negative,IndonesiaLawyersClubTvOne,0,ngomong segitu gak dapet maksud  aneh  ilc
172,negative,IndonesiaLawyersClubTvOne,0,sumpah liat muka  fahrihamzah  ilc ken gw lempar pake sepatu nyebelin bgt
173,negative,IndonesiaLawyersClubTvOne,0,fahri dower sakit hati kpk  ilc
174,negative,IndonesiaLawyersClubTvOne,0,dpr usik kpk bidik  ilc
175,negative,IndonesiaLawyersClubTvOne,0, reflyhz ajarin dewan ttg hak angket  ilc
176,negative,IndonesiaLawyersClubTvOne,0,rakyat tp jg kadang ga neng lihat nya yg superbodi kyknya tebang pilih jg  ilc
177,negative,IndonesiaLawyersClubTvOne,2, ilc rajut jakarta cabik cabik pimpin
178,negative,IndonesiaLawyersClubTvOne,5, karniilyas maksud cinta uang akar jahat  ilctvone
179,negative,IndonesiaLawyersClubTvOne,0,geram ngeliat tingkah laku akhlaq oknum mengatasnama islam  ilctvone
180,negative,IndonesiaLawyersClubTvOne,2,bohong publik rambut udah putih uban cat hitam  ilctvone
181,negative,IndonesiaLawyersClubTvOne,0, matanajwa beda kelas sm  ilctvone knp bebas batal
182,negative,IndonesiaLawyersClubTvOne,0,nonton ilc tokoh betawi bilang org betawi gampang inti bacot lu jaga inti  ilctvone
183,negative,IndonesiaLawyersClubTvOne,0,rajut jakarta gampang bacot lu jaga  ilctvone
184,negative,IndonesiaLawyersClubTvOne,0,buya safi maarif yg tua kalah bijak nasihat eep yg muda  ilctvone
185,negative,IndonesiaLawyersClubTvOne,0,rampas hak dasar manusia batal hukum  ilctvone
186,negative,IndonesiaLawyersClubTvOne,0,polisi kasihan bodoh hadap argumentasi hukum pakar it  ilctvone
187,negative,IndonesiaLawyersClubTvOne,0,abi manyu kasi beliau paham whatsapp miris  ilctvone
188,negative,IndonesiaLawyersClubTvOne,0,bintang  ilctvone muncul  aagym partai tokoh mana sanggup gerak orang http fbme wdyokqzu
189,negative,IndonesiaLawyersClubTvOne,0,menghimbau provokasi tp mantik benci teduh tp mendung  ilctvone
190,negative,IndonesiaLawyersClubTvOne,0,tindak anarkis aksi demo  ilctvone  savehmi
191,negative,IndonesiaLawyersClubTvOne,0,penting apa mati seram  ilctvone
192,negative,IndonesiaLawyersClubTvOne,0,ketua preman pasar ikut ngomong malu  ilctvone
193,negative,IndonesiaLawyersClubTvOne,0,jgn krn jaga moral dr konten porno negara darurat radikalisme tunggu perang kyk suriah kpi sadar  ilctvone
194,negative,IndonesiaLawyersClubTvOne,0,butuh fakta bukti ngomong bohong  ilctvone
195,negative,IndonesiaLawyersClubTvOne,2,kasi ya yg peci pake batik merah air mata nya dikeluarin krn ahoax  miris  ilctvone
196,negative,IndonesiaLawyersClubTvOne,0,syaiton musuh jgn jadi sbg teman manusia bs setan tp setan tdk bs manusia  insyaflahwahaimanusia  ilctvone
197,negative,IndonesiaLawyersClubTvOne,0, ilctvone dengar cerita bu marwah bodoh malu
198,negative,IndonesiaLawyersClubTvOne,0, ilctvone bang gaya nya pikir liberal miris
199,negative,IndonesiaLawyersClubTvOne,0,sesat pikir amat  taxamnesti  ilctvone
200,negative,IndonesiaLawyersClubTvOne,0,bicara ribet  ilc
201,positive,KickAndyMetroTV,4,ih lucu mas kick andy nya senyum aja
202,positive,KickAndyMetroTV,2,nonton hasan merkids kick andy inspirasi salut hasan
203,positive,KickAndyMetroTV,11,ubah mimpi tindak kick andy
204,positive,KickAndyMetroTV,3,kickandy gokil  kickandy
205,positive,KickAndyMetroTV,13,terima kasih tonton acara  kickandy eps ubah mimpi tindak moga manfaat
206,positive,KickAndyMetroTV,15,temu lentera jiwa  kickandy  mahasiswaum
207,positive,KickAndyMetroTV,9,agung undang cerita jalan hidup  kickandy
208,positive,KickAndyMetroTV,4,musisi yg gelora semangat nasionalisme kebhinekaan unjuk gigi  kickandy nkri harga mati
209,positive,KickAndyMetroTV,7,anak imajinasi  kickandy
210,positive,KickAndyMetroTV,2,gila daki gunung  kickandy mantap jiwa
211,positive,KickAndyMetroTV,0,sayang alam niscaya alam sayang  kickandy
212,positive,KickAndyMetroTV,12,mantan narapidana rangkul cari kerja jalan hidup yg lbh
213,positive,KickAndyMetroTV,5,agung  eevnxx bukti karya yg kagum hasil dgn ajar scr otodidak
214,positive,KickAndyMetroTV,7,salah jadi tonton tertawa agung hapsah muncul  kickandy
215,positive,KickAndyMetroTV,5,agung undang cerita jalan hidup  kickandy
216,positive,KickAndyMetroTV,0,jatuh bangkit bantu  kickandy
217,positive,KickAndyMetroTV,4,bangga bs sumbang karya nkri ronny  kickandy patut acung jempol
218,positive,KickAndyMetroTV,3,sahabat gimbal alas malam lupa ya nonton  kickandy gila daki gunung ala cak tarpin
219,positive,KickAndyMetroTV,6,orang takut berani berani http ekhsmnomorcom ekhs menulis-adalah-kesenangan-sayahtm   kickandy
220,positive,KickAndyMetroTV,5, kickandy suka hindar orang yag suka
221,positive,KickAndyMetroTV,14,anak th berfikir dewasa membiyayai sekolah bajak sawah  kickandy  metrotv  metrotvtoday
222,positive,KickAndyMetroTV,5,kangen nonton  kickandy ayah ayah langsung bilang syukur
223,positive,KickAndyMetroTV,0, kickandy  kickandyshow siang jg ajang reuni sahabat kosti dki kosti jateng
224,positive,KickAndyMetroTV,0,ku lucu ya  kickandy
225,positive,KickAndyMetroTV,5,besok pagi uts jd pulang duluan poto bareng gambar  kickandy  kickandyshow
226,positive,KickAndyMetroTV,3,bahagia masuk tv kawan  kickandy  kick andy https wwwinstagramcom btguakhkxq
227,positive,KickAndyMetroTV,0,keren kocak nih tamu  kickandy mereka yg lomba design yg asal malang
228,positive,KickAndyMetroTV,11,lucu ni bikin ketawa persis kayak tv  kickandy http ifttt orww
229,positive,KickAndyMetroTV,16,terima kasih  kickandy inspirasi buka mata orang setia uji cinta sungguh
230,positive,KickAndyMetroTV,8,cinta agung tuhan  kickandy
231,positive,KickAndyMetroTV,9,rias baik wanita semangat percaya  kickandy
232,positive,KickAndyMetroTV,5,nonton  kickandy inspirasi
233,positive,KickAndyMetroTV,8, kickandy dukung ahok orang  kickandyshow  metrotv
234,positive,KickAndyMetroTV,6,mantap ahok  kickandy
235,positive,KickAndyMetroTV,2,manusia bersih berani  kickandy  tamuahok
236,positive,KickAndyMetroTV,4,suka nasehat analta amir yg ahok nyaring ucap  kickand
237,positive,KickAndyMetroTV,9,nonton  kickandy tarik buka pikir inspirasi sukses
238,positive,KickAndyMetroTV,4,jago hahahaha  kickandy
239,positive,KickAndyMetroTV,12,salut orang kek gitu  kickandy
240,positive,KickAndyMetroTV,6, kickandyshow moga ok umur moga acara malam lancar  kickandy
241,positive,KickAndyMetroTV,14,ajang orang inspirasi  kickandy  kickandyheroes
242,positive,KickAndyMetroTV,11,suara penta boys keren banget juara rumania  kickandy
243,positive,KickAndyMetroTV,4,penta boys eks suka suara keren  kickandyp
244,positive,KickAndyMetroTV,8,selip detik kick andy keren
245,positive,KickAndyMetroTV,4,terimakasih  kickandy
246,positive,KickAndyMetroTV,17,tayang inspiratif motivasi cinta orang disabilitas  kickandy
247,positive,KickAndyMetroTV,17,perjuagan istimewa krn tembus batas sbg syukur allah inspirasi  kickandy
248,positive,KickAndyMetroTV,2,syukur hidup  kickandy
249,positive,KickAndyMetroTV,6,acara inspirasi salut  kickandy
250,positive,KickAndyMetroTV,4,suka tamu undang inspirasi  kickandy
251,negative,KickAndyMetroTV,5,kalo udah puncak lupa sampah bawa turun alam nyampah stop nyampah gunung  kickandy
252,negative,KickAndyMetroTV,0,rt  kickandyshow wna ancam deportasi lia  gracialia ancam pidana
253,negative,KickAndyMetroTV,0,nyala lilin umpat gelap  pejuangtangguh  kickandy
254,negative,KickAndyMetroTV,0,ga bohong gimbal alas malang  kickandy
255,negative,KickAndyMetroTV,0,sampan bayar padang pasir betapa jua emp http ilhamnomornet ilha -burung-kertashtm   kickandy
256,negative,KickAndyMetroTV,0,cari uang paksa upaya malas http lnis mnomorcom kfmap   kickandy
257,negative,KickAndyMetroTV,3,hidup terkadang  nomornet  kickandy
258,negative,KickAndyMetroTV,0,coba suami istri sakit coba istri suami gak duit miris  kickandy
259,negative,KickAndyMetroTV,0,haru dengar puisi perempuan henti jaga anak shinta nuriyah miris  kickandy
260,negative,KickAndyMetroTV,0,anak milik dua milik salah bantu istri asuh anak  gusdur  kickandy
261,negative,KickAndyMetroTV,0,uji suami istri sakit uji istri suami apa  kickandy
262,negative,KickAndyMetroTV,0, kickandy andy mampir dgn gaya remaja sbg idola remaja beli
263,negative,KickAndyMetroTV,0,lemah kuat  tekcmi  kickandy
264,negative,KickAndyMetroTV,0,kuat besar kalah stress mampu pilih pikir  hermafik  kickandy
265,negative,KickAndyMetroTV,0,yg kesel coba kalo sodara km ngantri kanker coba km rasain bs gitu fitnah org  kickandy  suarahatiahok
266,negative,KickAndyMetroTV,0,klo pulang rumah mati ga yg urus miskin mw taruh apartemen  kickandy  suarahatiahok
267,negative,KickAndyMetroTV,0,kalo antem tdk telor busuk ketek  kickandy  pilkadadki
268,negative,KickAndyMetroTV,4, basukibtp muka sedih banget pas kakak angkat ngomong  kickandy
269,negative,KickAndyMetroTV,0,andy kaku jaga sikap undang ahok tamu formal  kickandy
270,negative,KickAndyMetroTV,0,stress ngantuk  ahok  kickandy
271,negative,KickAndyMetroTV,0,orang cover nya aja lihat sisi nya fisik sm isi beda  kickandy
272,negative,KickAndyMetroTV,0,kayak gajah yg bilang psikolog  metrotv  kickandymetrotv
273,negative,KickAndyMetroTV,0,bakarin andy  kickandyshow  kickandymetrot
274,negative,KickAndyMetroTV,0,bikin sakit perut nonton kisah sarjana tua indonesia  kickandymetrotv
275,negative,KickAndyMetroTV,3,kerja yg tdk sesuai kualifikasi didik  kickandymetrotv
276,negative,KickAndyMetroTV,0,tp ttp tdk msk surga jd ibadah sia hahaah rt  melanjhe sp bilang orang tato tdk ibadah  kickandymetrotv
277,negative,KickAndyMetroTV,0,orang tato tdk ibadah  kickandymetrotv
278,negative,KickAndyMetroTV,0,bodoh bodoh sistem mike-marjinal  kickandymetrotv
279,negative,KickAndyMetroTV,9,gimana un bs bocor malaikat alam kubur aja udah bocor  kickandymetrotv
280,negative,KickAndyMetroTV,0,anak lulus dg nilai palingg lulus snmptn undang bidik misi pdhl susah  sbyudhoyono  kickandymetrotv
281,negative,KickAndyMetroTV,0,orang belanda aja peduli orang indonesia yg daerah isolir gimana dg perintah indonesia zhonk kickandymetrotv
282,negative,KickAndyMetroTV,0,merinding deh nonton  kickandymetrotv
283,negative,KickAndyMetroTV,0,indonesia didik rusak  kickandymetrotv
284,negative,KickAndyMetroTV,0,parah kualitas didik indonesia  kickandymetrotv
285,negative,KickAndyMetroTV,0,apa ya kick andy botak  kickandymetrotv
286,negative,KickAndyMetroTV,3,malu krn kalah org yg tdk sempurna yg org sempurna  kickandymetrotv
287,negative,KickAndyMetroTV,0,hukum indonesia adil  kickandymetrotv
288,negative,KickAndyMetroTV,0,tua keladi jd macan ompong melempem kecewa liat amin rais  kickandymetrotv
289,negative,KickAndyMetroTV,0, kickandymetrotv media isi ttg kisah sukses tv gosip berita rusuh  acara gg tai kucing  catet
290,negative,KickAndyMetroTV,5, kickandymetrotv harga orang harga orang
291,negative,KickAndyMetroTV,0,bawah yg sulit keluh  kickandymetrotv
292,negative,KickAndyMetroTV,0,hidup juang lelah capek  kickandy
293,negative,KickAndyMetroTV,0,orang henti ajar bodoh  kickandy http untubmhumandesignindonesiacom untub rahasia-dalam-memikat-
294,negative,KickAndyMetroTV,0,ambil berfikir usak  kickandy http koepbmnetworknumberonecom koepb tak-ada-yang-berubah-meski-sa
295,negative,KickAndyMetroTV,0,miris usak indonesia  kickandy
